Name,Designation,Photo,Profile,Avg_rating,no_ratings,id
Vinay Reddy Venumuddala,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/09/Vinay-Reddy-Venumuddala.webp,https://www.mahindrauniversity.edu.in/faculty/vinay-reddy-venumuddala/,0.0,0,182
Athi Karthick V,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/10/Athi-Karthick-V.webp,https://www.mahindrauniversity.edu.in/faculty/athi-karthick-v/,0.0,0,183
Praharshita Krishna,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/01/Praharshita-Krishna-New.webp,https://www.mahindrauniversity.edu.in/faculty/praharshita-krishna/,0.0,0,184
Neeraj Katewa,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/01/Neeraj-Katewa.webp,https://www.mahindrauniversity.edu.in/faculty/neeraj-katewa/,0.0,0,185
Kirit Ghosh,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/02/Kirit-Ghosh.webp,https://www.mahindrauniversity.edu.in/faculty/kirit-ghosh/,0.0,0,186
Sumit Saxena,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/04/Sumit-Saxena.webp,https://www.mahindrauniversity.edu.in/faculty/sumit-saxena/,0.0,0,187
Sarthak Mohapatra,Assistant Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2025/04/Sarthak-Mohapatra.webp,https://www.mahindrauniversity.edu.in/faculty/sarthak-mohapatra/,0.0,0,188
Dr. Srinivasa Rao Srungarapu,Professor & DeanIndira Mahindra School of Education,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Srinivasa-Rao-Srungarapu.webp,https://www.mahindrauniversity.edu.in/faculty/professor-s-srinivasa-rao/,0.0,0,189
Dr. Srinivasa Rao Srungarapu,Professor & DeanIndira Mahindra School of Education,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Srinivasa-Rao-Srungarapu.webp,https://www.mahindrauniversity.edu.in/faculty/professor-s-srinivasa-rao/,0.0,0,190
Shivali Tukdeo,Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/shivali-332x390-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/shivali-tukdeo/,0.0,0,191
